Scheme Name,Financial Benefit,Minimum Age,Target Gender,Target Location,Target Community / Category,Business Type / Industry,Plain-Text Eligibility Summary,Documents Required,How to Apply,Official Link,🔐 Softr Record ID
Stand-Up India,Bank loan of ₹10 lakh to ₹1 crore (covers both starting money and daily running money). Also get a Rupay debit card,18,Any (men must be SC/ST; women can apply regardless of caste,India,SC/ST and/or Women,"New (greenfield) business only — manufacturing, services, trading, or agriculture-related work","You can get this loan if: (1) you are starting a brand-new business, (2) you are 18 or older, (3) if you are a man, you must be from SC or ST community, (4) if you are a woman, any woman can apply, (5) you have never failed to repay a bank loan before, (6) if it's a company/partnership, SC/ST or woman must own more than half of it","ID proof (Voter ID/Passport/License/PAN); Address proof (electricity bill/phone bill/Voter ID); Business address proof; Letter saying you have no loan default; Company/partnership papers (if any); List of your assets and debts + income tax returns; Rent agreement (if renting shop); Pollution clearance (if needed); MSME registration (if you have one); 2-year money plan for the business; Property papers for anything offered as security; Caste certificate (if SC/ST); For loans above ₹25 lakh — extra business project report and details of machines, staff, and competitors","Apply at your nearest bank branch, OR contact your District's Lead District Manager (LDM), OR apply online at standupmitra.in — register with your business and personal details, then a bank will contact you to finish the loan process",https://www.standupmitra.in,PGctswc3vDV2GX3tveHerm
Venture Capital Fund for Scheduled Castes,"Money for your business — ₹10 lakh to ₹15 crore. Loan interest is 4% per year (3.75% for SC women and disabled entrepreneurs), or the government can invest in your business directly",N/A,Any,India,"Scheduled Caste (SC) only — not for ST, OBC, or General category","Manufacturing, services, or tech/innovation businesses (including startups)","You can get this if: (1) you are from the SC community, (2) your company has been running for at least 6 months (for smaller amounts) or 12 months (for larger amounts) with SC ownership of at least 51%, (3) for tech ideas, you must have a patent or support from a recognized incubator. Note: This is only for registered companies — not for solo proprietors or basic partnership firms applying directly",Caste certificate; A detailed project report about your business; Papers from your incubation center (for tech projects with incubator support); Patent/copyright papers (for tech projects without incubator support); Sanction letter (if government subsidy is involved,"Register on the official website with your email and phone number (OTP verification), then log in and fill the application form, upload your documents, and submit. After that, a review team checks your papers, visits your business site, and a final committee approves the funding — money is then released in parts.",https://foa.vcfsc.in/#/signin,JqBBWAPbLUATbDVYQxdvNJ
Samriddhi – Scheme for SC/ST Students for Setting Start-Ups,"₹2 lakh seed money per startup (free money, no need to pay back) for 9 selected students per institute",Not specified ,Any,India,Scheduled Caste (SC) / Scheduled Tribe (ST) students only,Any new startup registered by the student,"Important: This scheme is not applied for directly by entrepreneurs. Your college/institute applies on your behalf. You can only benefit if: (1) you are SC or ST, (2) you are in your final year of degree/diploma, (3) you already have a registered company/startup in your name, (4) your institute is approved by AICTE and chosen to run this scheme, (5) you are not already getting money from another AICTE/government scheme for the same startup","For the student: Proof you're in final year; Proof your company/startup is registered in your name. (The institute handles all other paperwork — approval papers, bank details, faculty records, budget forms, etc","This is applied for by the Institute, not the student. The institute logs into the AICTE portal, fills in institute and bank details, adds a faculty coordinator, submits a project proposal, and validates the application. Students only need to register with a startup and their institute to be considered for one of the 9 selected slots",https://www.myscheme.gov.in,FgN3V6kcduDUNMLFktVgry
Ambedkar Social Innovation and Incubation Mission (ASIIM),"Up to ₹30 lakh over 3 years to build your idea (₹10 lakh/year) — pays for incubator costs, hardware, software, a monthly stipend, travel, patent filing, and workspace. If your startup does well, you can then get up to ₹15 crore more in funding",Not specified ,Any,India,Scheduled Caste (SC) and SC Divyang (disabled) students only,"Innovative/tech startup ideas, especially ones solving social or economic problems","You can get this if: (1) you are SC or SC Divyang, (2) your idea has been picked by a recognized incubator (like a TBI, Atal Incubation Center, or similar), OR you won an award in Smart India Hackathon, OR your startup is backed by a company's CSR funds, (3) you agree to convert your firm into a Private/Public Limited company with at least 51% SC ownership before getting the money. Note: This does not cover businesses in RBI's restricted/negative sectors",Proof of SC or SC Divyang status; Company registration papers (Private/Public Limited); Shareholding document showing 51% SC ownership; Proof your incubator selected you; Proof of Smart India Hackathon award (if that's how you qualify); Your project proposal document,"Register on the official website, log in, fill in the form, upload documents, and submit. After that, your incubator (TBI) recommends you, your idea gets auto-selected for incubation, you form your company, and funds are released yearly based on your progress",https://www.vcfsc.in,6cjgDrNR6pCJXQwfW2YKth
Pradhan Mantri Virasat Ka Samvardhan(PM VIKAS),"Free skill training (traditional + modern), stipend during training, free schooling support for class 8/10/12, and business/leadership training for women (with help getting loans and selling products)",14 years (18 for the women's leadership/business track),"Women get priority — 33% of skilling seats, 50% of education seats, and 100% of leadership/business seats are reserved for them; men can join skilling and education",India,"Muslims, Christians, Sikhs, Buddhists, Jains, Parsis (a small number of non-minority poor candidates also allowed)",Any traditional craft or modern trade skill; also supports women starting their own business,"You can join if: (1) you are 14–45 years old (18–45 for the women's business track), (2) you belong to one of the 6 minority communities — Muslim, Christian, Sikh, Buddhist, Jain, or Parsi (a small number of non-minority low-income people can also join), (3) for the business track, you must be a woman, (4) you have the right education level for the course you're choosing. People with disabilities get extra reserved seats",Aadhaar card + Aadhaar-linked bank account; EWS (income) certificate — only if you are not from a minority community; Proof of your education level for the course you want,"Go to the SIDH portal website, register and complete your e-KYC, set a password, verify your phone number, then search for PM VIKAS courses, pick up to 5 batches you're interested in, and wait for the training center to approve you. Confirm your seat",https://pmvikas.minorityaffairs.gov.in,4SL2Vu8Gdpq1YCeDJNFi7V
Agri-Clinics And Agri-Business Centres Scheme(ACABC),"Free training, plus subsidy on your project cost — 44% subsidy for women, SC/ST, and candidates from NE/Hill states; 36% for everyone else. Project cost cap is ₹20 lakh solo (₹25 lakh for very good projects), or up to ₹1 crore for a group of 5+ people.",18-60 years,Any(women get higher subsidy),All India (extra subsidy for NE and Hill state candidates),Any — extra subsidy for SC/ST,"Agriculture and allied services — soil testing labs, veterinary services, seed/plant units, bee-keeping, fisheries, farm equipment repair, IT kiosks for farmers, rural marketing, and more","You can get this if: (1) you are 18–60 years old, (2) you have a degree, diploma, or 12th-level qualification in Agriculture or a related field (like Horticulture, Fisheries, Veterinary Science, Dairy, etc.), (3) you are willing to complete free training before starting. Note: Retired people getting a pension can still train and start a self-funded project, but can't get the subsidy","Aadhaar number; Email ID; Latest education certificate; Bank account details; Your photo. (If you don't have Aadhaar yet: Aadhaar enrolment slip + one of Voter ID/PAN/Passport/Ration Card/Bank Passbook/Driving License,etc)","Apply through the Jansamarth portal — visit the website, fill in the form, upload your documents, and submit. You can track your status later using your Applicant ID, mobile number, or Aadhaar number.",https://www.agriclinics.net,8uvsPn61eRL1XZdqckjo16
Prime Minister’s Employment Generation Programme (PMEGP),"New unit: Government subsidy is 15% (Urban) / 25% (Rural) for General category and 25% (Urban) / 35% (Rural) for Special categories. Own contribution is 10% for General and 5% for Special categories. Maximum project cost for subsidy: ₹50 lakh for Manufacturing and ₹20 lakh for Business/Service. 2nd loan for existing units: 15% subsidy, or 20% in NER and Hill States, subject to limits.",18,All,India,"General; SC, ST, OBC, Minorities, Women, Ex-Servicemen, Transgenders, Differently Abled, NER, Aspirational Districts, Hill and Border Areas","New micro-enterprises in manufacturing, business and services; eligible existing PMEGP/REGP/MUDRA units for upgradation","Any individual aged 18 or above can apply for a new unit. There is no income limit. For projects above ₹10 lakh in Manufacturing or ₹5 lakh in Business/Service, the applicant must have passed at least Class 8. The project must be new and must not have already received government subsidy. Only one person from a family (self and spouse) can get assistance for a new project. Existing PMEGP/REGP/MUDRA units can apply for a 2nd loan if the first loan was repaid, the subsidy lock-in was completed, and the unit is profitable with growth potential.",Caste Certificate; Special Category Certificate if applicable; Rural Area Certificate; Project Report; Education/EDP/Skill Development Training Certificate; other applicable documents,"Apply online through the PMEGP portal. Select “Application For New Unit” or “Application For Existing Units (2nd Loan)”, fill the form, upload documents and submit. Registered applicants can log in to track/apply for the second-loan subsidy.",https://www.kviconline.gov.in/pmegpeportal/pmegphome/index.jsp,GFjD2i5gHKmfivwjYaQ44u
Export Promotion Council Membership Reimbursement Scheme,"Reimbursement of 80% of the EPC membership fee, up to ₹20,000 per financial year, whichever is lower. GST and other taxes are not included.",Not specified,All,India,SC/ST,Micro and Small Enterprises (MSEs),"The applicant must belong to SC or ST category and represent a Micro or Small Enterprise. The enterprise must have the required Udyam Registration and valid Import Export Code (IEC). For partnership/LLP/private companies, SC/ST ownership must meet the required shareholding condition. The scheme helps pay part of the membership fee charged by an Export Promotion Council.",Udyam Registration; GST number if applicable; PAN; SC/ST caste certificate; shareholding details; partnership deed/MOA/AOA where applicable; valid IEC; valid RCMC from the Export Promotion Council; previous RCMC for renewal if applicable; proof of previous reimbursement if applicable; EPC membership fee receipt and GST invoice; cancelled cheque of enterprise current account,"Apply online through the National SC-ST Hub portal. Register with name, email and mobile number, create a password, log in, fill in the required details and submit the application with documents.",https://www.scsthub.in/nssh-schemes/,5HobYDijkbUKqGbSoct7bg
Advance Authorisation Scheme,"Duty-free import of eligible inputs used to make export products. Exemption can include Basic Customs Duty, Additional Customs Duty, Education Cess, Anti-dumping Duty, Safeguard Duty, IGST and Compensation Cess, wherever applicable and subject to scheme conditions.",Not applicable,All,India,All,Manufacturer exporters and merchant exporters tied to supporting manufacturers,"The applicant must be a manufacturer exporter or a merchant exporter linked to a supporting manufacturer. The imported inputs must be used to make the exported product. The exporter must meet the required input norms and achieve at least 15% value addition. Export obligation normally must be completed within 18 months from the date of Authorisation, or within the period notified by DGFT.",IEC copy; export product description; export ITC-HS code; export quantity and FOB value; import item description; import ITC-HS code; import quantity and CIF value; IGST and customs duty details; port of registration; valid RCMC; industrial licence where applicable; CA certificate; CA certificate of consumption for last 3 yea,"Apply online through the DGFT portal. Get/update IEC, register DSC, obtain RCMC, then go to Services → Advance Authorisation / DFIA → Apply for Advance Authorisation (ANF 4A), fill in the details, upload documents and submit.",https://www.dgft.gov.in/,UqYwFxrX2NR9jNvaUL921U
Incredible India Bed and Breakfast establishment ,"No money given. You get an official ""Silver"" or ""Gold"" star rating, free publicity, and your name in the government's tourist directory.",not specified ,All,States/UTs with no own B&B approval scheme,All communities,Bed & Breakfast / Homestay accommodation,You own a small guest house with 1 to 6 rooms (max 12 beds). You do not live there yourself — you must hire a caretaker who lives on site and looks after guests. You serve breakfast and show your prices clearly to guests before they book.,"GST number, PAN number, FSSAI license (if you serve food), other papers if asked","1. Go to the NIDHI portal online. 2. Pick Silver or Gold. 3. Fill the form online. 4. Upload your papers. 5. Pay the fee online (card/UPI only, no cash). 6. Submit. 7. To renew later, apply again on the same site and pay again.",https://nidhi.tourism.gov.in/,Pz4vMehxB9nRhZ7bcc3GcG
